Edad;Sexoedad;Ano;101;102;103;104;105;106;107;108;109;110;201;202;203;204;205;206;207;208;209;210;211;212;213;214;301;302;303;304;306;307;308;309;401;402;403;404;405;406;407;501;502;503;504;505;506;507;508;509;510;511;512;513;514;601;602;603;604;605;606;607;608;609;610;611;612;613;614;615;616;Sexo;Edad
H45a64(00);H45a64;2000;62;268;39;20;38;80;2;312;270;77;805;166;212;262;142;555;124;7;0;228;132;373;645;69;37;426;3194;445;283;1429;13;240;0;0;0;0;0;0;0;1081;16;223;7;9;88;19;14;5;254;303;3350;8;324;869;118;8;199;673;2;35;125;79;506;520;334;11;0;9;220;Hombre;45a64
M45a64(00);M45a64;2000;43;103;22;11;20;80;1;42;211;51;480;192;174;374;129;332;51;780;853;0;278;270;673;75;54;413;1761;345;235;1511;8;150;0;0;0;0;0;0;0;260;1;34;0;0;16;8;5;8;48;60;321;5;52;951;68;8;128;542;3;25;98;86;218;415;278;0;23;9;267;Mujer;45a64
H65(00);H65;2000;153;306;27;19;51;253;4;27;1109;106;1571;325;442;470;271;1143;237;8;0;1753;266;400;1006;102;58;2004;8481;1021;1584;4422;137;647;0;0;0;0;0;0;0;657;2;205;3;2;46;14;4;18;165;140;535;3;227;1679;431;10;251;3738;3;112;314;251;571;1495;882;97;0;8;634;Hombre;65
M65(00);M65;2000;198;168;16;14;33;264;1;3;1204;73;1141;455;330;774;336;698;90;483;804;0;367;399;1180;105;67;2303;7667;1206;1556;5470;164;524;0;0;0;0;0;0;0;274;1;109;0;0;7;13;1;17;91;10;65;1;130;2758;540;12;222;2942;3;153;307;260;350;1468;822;0;0;7;874;Mujer;65
H1(01);H1;2001;311;4;15;27;114;104;14;21;673;48;0;0;0;1;0;0;1;0;0;0;0;10;6;14;0;0;3;41;5;8;0;4;68;410;136;2251;603;39;679;9;0;5;0;0;18;5;2;2;162;0;17;0;24;2;425;0;70;25;2;82;108;19;7;55;28;0;0;1309;84;Hombre;1
M1(01);M1;2001;244;5;13;28;80;92;10;10;515;45;0;0;0;0;0;0;1;0;0;0;0;8;4;3;1;0;4;43;9;17;0;0;55;294;84;1615;420;19;501;10;1;4;0;0;8;4;1;1;136;0;15;0;13;1;356;0;56;20;3;54;84;16;2;44;19;0;0;1088;51;Mujer;1
H1a4(01);H1a4;2001;104;5;16;2;35;21;0;6;198;39;0;0;0;2;0;0;0;0;0;0;8;58;36;6;0;0;3;19;6;15;0;1;0;1;0;2;1;2;2;106;0;28;1;1;157;19;11;3;91;1;38;1;41;2;168;0;55;19;1;31;23;15;7;28;35;0;0;94;50;Hombre;1a4
M1a4(01);M1a4;2001;92;8;18;1;30;32;0;4;200;27;1;0;1;4;0;0;0;0;0;0;4;42;25;7;1;0;2;27;3;8;0;3;0;0;0;1;0;0;1;75;1;10;0;1;95;19;10;1;64;0;25;0;39;4;159;0;50;22;5;30;39;10;3;16;21;0;0;120;48;Mujer;1a4
H5a14(01);H5a14;2001;14;11;35;7;25;23;0;2;72;17;5;2;0;2;2;5;2;0;0;2;4;131;63;16;6;2;2;34;9;21;1;2;0;0;0;0;1;0;1;341;3;32;2;4;121;15;7;2;100;35;234;3;57;5;27;0;86;11;2;13;15;16;3;22;32;0;0;60;47;Hombre;5a14
M5a14(01);M5a14;2001;14;12;19;1;26;15;0;6;63;18;0;0;2;1;0;2;1;0;0;0;3;91;57;20;11;6;2;31;4;16;0;1;0;0;0;0;0;0;0;157;5;9;1;6;51;9;10;1;53;45;112;3;42;6;28;2;70;7;0;4;12;17;7;21;24;0;8;48;53;Mujer;5a14
H15a44(01);H15a44;2001;45;207;103;27;83;97;3;1281;269;96;201;58;65;51;28;101;23;1;0;8;78;363;369;82;18;88;620;236;43;388;3;77;0;0;0;1;0;0;0;3409;77;260;22;44;456;51;72;4;634;1323;22934;256;1181;194;65;15;364;83;5;28;122;61;148;284;164;2;0;63;253;Hombre;15a44
